index,dt,datetime,timezone,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,snow_1h,snow_3h,snow_6h,snow_12h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
27770,857149200,1997-03-01 00:00:00,28800,Denpasar,-8.652497,115.219117,25.6,25.6,25.6,1011.0,,,82,1.36,297,,,0.0,,,,,,,,,,59,803,Clouds,broken clouds,04n
27771,857152800,1997-03-01 01:00:00,28800,Denpasar,-8.652497,115.219117,25.59,25.59,25.59,1010.0,,,87,1.25,291,0.11,,,,,,,,,,,,65,500,Rain,light rain,10n
27772,857156400,1997-03-01 02:00:00,28800,Denpasar,-8.652497,115.219117,25.42,25.42,25.42,1010.0,,,87,1.39,281,,,,,,,,,,,,,71,803,Clouds,broken clouds,04n
27773,857160000,1997-03-01 03:00:00,28800,Denpasar,-8.652497,115.219117,25.33,25.33,25.33,1010.0,,,87,1.34,281,,,,,,,,,,,,,90,804,Clouds,overcast clouds,04n
27774,857163600,1997-03-01 04:00:00,28800,Denpasar,-8.652497,115.219117,23.8,23.8,23.8,1009.7,,,87,1.0,294,0.18,,,,,,,,,,,,86,500,Rain,light rain,10n
27775,857167200,1997-03-01 05:00:00,28800,Denpasar,-8.652497,115.219117,23.8,23.8,23.8,1009.7,,,87,1.12,336,,,0.0,,,,,,,,,,85,804,Clouds,overcast clouds,04n
27776,857170800,1997-03-01 06:00:00,28800,Denpasar,-8.652497,115.219117,23.8,23.8,23.8,1009.7,,,87,1.08,349,,,0.0,,,,,,,,,,81,803,Clouds,broken clouds,04d
27777,857174400,1997-03-01 07:00:00,28800,Denpasar,-8.652497,115.219117,26.1,26.1,26.1,1012.0,,,84,1.01,334,,,,,,,,,,,,,75,803,Clouds,broken clouds,04d
27778,857178000,1997-03-01 08:00:00,28800,Denpasar,-8.652497,115.219117,26.3,26.3,26.3,1013.0,,,83,1.12,308,,,,,,,,,,,,,50,802,Clouds,scattered clouds,03d
27779,857181600,1997-03-01 09:00:00,28800,Denpasar,-8.652497,115.219117,26.54,26.54,26.54,1013.0,,,82,1.82,281,,,,,,,,,,,,,58,803,Clouds,broken clouds,04d
27780,857185200,1997-03-01 10:00:00,28800,Denpasar,-8.652497,115.219117,30.2,30.2,30.2,1012.4,,,66,2.1,280,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d
27781,857188800,1997-03-01 11:00:00,28800,Denpasar,-8.652497,115.219117,30.2,30.2,30.2,1012.4,,,66,2.1,280,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d
27782,857192400,1997-03-01 12:00:00,28800,Denpasar,-8.652497,115.219117,26.45,26.45,26.45,1011.0,,,85,3.24,242,,,,,,,,,,,,,77,803,Clouds,broken clouds,04d
27783,857196000,1997-03-01 13:00:00,28800,Denpasar,-8.652497,115.219117,31.2,31.2,31.2,1010.1,,,58,4.1,250,,,0.0,,,,,,,,,,60,803,Clouds,broken clouds,04d
27784,857199600,1997-03-01 14:00:00,28800,Denpasar,-8.652497,115.219117,31.2,31.2,31.2,1010.1,,,58,4.1,250,0.18,,,,,,,,,,,,72,500,Rain,light rain,10d
27785,857203200,1997-03-01 15:00:00,28800,Denpasar,-8.652497,115.219117,26.57,26.57,26.57,1009.0,,,84,3.7,229,0.69,,,,,,,,,,,,73,500,Rain,light rain,10d
27786,857206800,1997-03-01 16:00:00,28800,Denpasar,-8.652497,115.219117,30.4,30.4,30.4,1009.0,,,62,3.6,250,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d
27787,857210400,1997-03-01 17:00:00,28800,Denpasar,-8.652497,115.219117,30.4,30.4,30.4,1009.0,,,62,3.6,250,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d
27788,857214000,1997-03-01 18:00:00,28800,Denpasar,-8.652497,115.219117,30.4,30.4,30.4,1009.0,,,62,3.6,250,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02n
27789,857217600,1997-03-01 19:00:00,28800,Denpasar,-8.652497,115.219117,26.89,26.89,26.89,1011.0,,,79,1.49,358,,,,,,,,,,,,,85,804,Clouds,overcast clouds,04n
27790,857221200,1997-03-01 20:00:00,28800,Denpasar,-8.652497,115.219117,26.94,26.94,26.94,1012.0,,,78,1.31,342,,,,,,,,,,,,,75,803,Clouds,broken clouds,04n
27791,857224800,1997-03-01 21:00:00,28800,Denpasar,-8.652497,115.219117,26.97,26.97,26.97,1012.0,,,79,1.28,319,,,,,,,,,,,,,57,803,Clouds,broken clouds,04n
27792,857228400,1997-03-01 22:00:00,28800,Denpasar,-8.652497,115.219117,27.6,27.6,27.6,1012.2,,,77,1.39,285,,,0.0,,,,,,,,,,44,802,Clouds,scattered clouds,03n
27793,857232000,1997-03-01 23:00:00,28800,Denpasar,-8.652497,115.219117,27.6,27.6,27.6,1012.2,,,77,1.91,261,0.16,,,,,,,,,,,,36,500,Rain,light rain,10n
27794,857235600,1997-03-02 00:00:00,28800,Denpasar,-8.652497,115.219117,27.6,27.6,27.6,1012.2,,,77,2.64,256,,,0.0,,,,,,,,,,30,802,Clouds,scattered clouds,03n
27795,857239200,1997-03-02 01:00:00,28800,Denpasar,-8.652497,115.219117,26.65,26.65,26.65,1011.0,,,80,3.06,262,,,,,,,,,,,,,37,802,Clouds,scattered clouds,03n
27796,857242800,1997-03-02 02:00:00,28800,Denpasar,-8.652497,115.219117,26.7,26.7,26.7,1011.0,,,79,2.84,267,,,,,,,,,,,,,48,802,Clouds,scattered clouds,03n
27797,857246400,1997-03-02 03:00:00,28800,Denpasar,-8.652497,115.219117,26.82,26.82,26.82,1011.0,,,78,1.87,262,0.14,,,,,,,,,,,,55,500,Rain,light rain,10n
27798,857250000,1997-03-02 04:00:00,28800,Denpasar,-8.652497,115.219117,25.6,25.6,25.6,1010.7,,,88,1.05,260,0.14,,,,,,,,,,,,44,500,Rain,light rain,10n
27799,857253600,1997-03-02 05:00:00,28800,Denpasar,-8.652497,115.219117,25.6,25.6,25.6,1010.7,,,88,0.83,248,0.12,,,,,,,,,,,,36,500,Rain,light rain,10n
