index,dt,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,clouds_all,weather_id,datetime,year,month
37317,891363600,25.0,25.0,25.0,1011.9,,,94,1.0,20,,,,,,,20,801,1998-04-01 00:00:00,1998,4
37318,891367200,25.0,25.0,25.0,1010.8,,,94,2.1,40,,,,,,,20,801,1998-04-01 01:00:00,1998,4
37319,891370800,25.0,25.0,25.0,1010.8,,,94,2.1,40,,,,,,,20,801,1998-04-01 02:00:00,1998,4
37320,891374400,24.0,24.0,24.0,1010.8,,,94,2.1,90,,,,,,,20,801,1998-04-01 03:00:00,1998,4
37321,891378000,26.89,26.89,26.89,1011.0,,,81,5.57,92,,,,,,,21,801,1998-04-01 04:00:00,1998,4
37322,891381600,23.0,23.0,23.0,1010.8,,,100,1.5,70,,,,,,,20,801,1998-04-01 05:00:00,1998,4
37323,891385200,24.0,24.0,24.0,1011.9,,,94,3.1,40,,,,,,,20,801,1998-04-01 06:00:00,1998,4
37324,891388800,26.0,26.0,26.0,1011.9,,,88,2.6,50,,,,,,,20,801,1998-04-01 07:00:00,1998,4
37325,891392400,28.0,28.0,28.0,1011.9,,,83,3.1,70,,,,,,,20,801,1998-04-01 08:00:00,1998,4
37326,891396000,29.0,29.0,29.0,1011.9,,,74,3.1,90,,,,,,,20,801,1998-04-01 09:00:00,1998,4
37327,891399600,29.0,29.0,29.0,1011.9,,,74,2.6,100,,,,,,,20,801,1998-04-01 10:00:00,1998,4
37328,891403200,29.8,29.8,29.8,1010.8,,,66,2.6,100,,,0.0,,,,20,801,1998-04-01 11:00:00,1998,4
37329,891406800,30.0,30.0,30.0,1010.8,,,70,3.6,120,,,,,,,20,801,1998-04-01 12:00:00,1998,4
37330,891410400,27.31,27.31,27.31,1010.0,,,83,4.04,136,,,,,,,5,800,1998-04-01 13:00:00,1998,4
37331,891414000,27.39,27.39,27.39,1010.0,,,83,4.09,140,,,,,,,3,800,1998-04-01 14:00:00,1998,4
37332,891417600,31.0,31.0,31.0,1009.1,,,66,2.1,120,,,,,,,20,801,1998-04-01 15:00:00,1998,4
