index,dt,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,clouds_all,weather_id,datetime,year,month
101122,1120150800,25.6,25.6,25.6,1013.7,,,66,0.5,120,,,,,,,40,802,2005-07-01 00:00:00,2005,7
101123,1120154400,25.6,25.6,25.6,1013.7,,,66,0.5,120,,,,,,,40,802,2005-07-01 01:00:00,2005,7
101124,1120158000,25.6,25.6,25.6,1013.7,,,66,0.5,120,,,,,,,40,802,2005-07-01 02:00:00,2005,7
101125,1120161600,25.6,25.6,25.6,1012.9,,,70,3.6,110,,,,,,,20,801,2005-07-01 03:00:00,2005,7
101126,1120165200,25.5,25.5,25.5,1013.0,,,78,7.1,110,,,,,,,31,802,2005-07-01 04:00:00,2005,7
101127,1120168800,26.0,26.0,26.0,1012.9,,,69,3.1,120,,,,,,,20,801,2005-07-01 05:00:00,2005,7
101128,1120172400,26.0,26.0,26.0,1013.9,,,65,4.6,130,,,,,,,20,801,2005-07-01 06:00:00,2005,7
101129,1120176000,26.0,26.0,26.0,1014.9,,,61,4.1,110,,,,,,,20,801,2005-07-01 07:00:00,2005,7
101130,1120179600,28.0,28.0,28.0,1014.9,,,61,3.6,110,,,,,,,20,801,2005-07-01 08:00:00,2005,7
101131,1120183200,28.0,28.0,28.0,1014.9,,,61,4.6,100,,,,,,,20,801,2005-07-01 09:00:00,2005,7
101132,1120186800,28.4,28.4,28.4,1013.9,,,57,4.1,100,,,,,,,20,801,2005-07-01 10:00:00,2005,7
101133,1120190400,29.0,29.0,29.0,1013.9,,,58,4.1,110,,,,,,,20,801,2005-07-01 11:00:00,2005,7
101134,1120194000,29.0,29.0,29.0,1012.9,,,58,4.1,110,,,,,,,20,801,2005-07-01 12:00:00,2005,7
101135,1120197600,28.4,28.4,28.4,1011.9,,,55,4.6,110,,,,,,,20,801,2005-07-01 13:00:00,2005,7
101136,1120201200,28.4,28.4,28.4,1011.9,,,55,4.6,110,,,,,,,20,801,2005-07-01 14:00:00,2005,7
101137,1120204800,27.4,27.4,27.4,1009.7,,,67,3.1,130,,,,,,,75,803,2005-07-01 15:00:00,2005,7
101138,1120208400,27.4,27.4,27.4,1009.7,,,67,3.1,130,,,,,,,75,803,2005-07-01 16:00:00,2005,7
101139,1120212000,27.4,27.4,27.4,1009.7,,,67,3.1,130,,,,,,,75,803,2005-07-01 17:00:00,2005,7
101140,1120215600,26.3,26.3,26.3,1010.4,,,67,3.6,110,,,,,,,20,801,2005-07-01 18:00:00,2005,7
101141,1120219200,26.3,26.3,26.3,1010.4,,,67,3.6,110,,,,,,,20,801,2005-07-01 19:00:00,2005,7
101142,1120222800,26.3,26.3,26.3,1010.4,,,67,3.6,110,,,,,,,20,801,2005-07-01 20:00:00,2005,7
101143,1120226400,25.6,25.6,25.6,1012.3,,,71,4.1,90,,,,,,,40,802,2005-07-01 21:00:00,2005,7
101144,1120230000,25.6,25.6,25.6,1012.3,,,71,4.1,90,,,,,,,40,802,2005-07-01 22:00:00,2005,7
101145,1120233600,25.6,25.6,25.6,1012.3,,,71,4.1,90,,,,,,,40,802,2005-07-01 23:00:00,2005,7
101146,1120237200,23.6,23.6,23.6,1011.6,,,78,2.6,40,,,,,,,20,801,2005-07-02 00:00:00,2005,7
101147,1120240800,25.86,25.86,25.86,1013.0,,,64,6.92,116,,,,,,,97,804,2005-07-02 01:00:00,2005,7
101148,1120244400,23.0,23.0,23.0,1010.8,,,83,1.5,40,,,,,,,20,801,2005-07-02 02:00:00,2005,7
101149,1120248000,22.0,22.0,22.0,1010.8,,,88,2.1,50,,,,,,,20,801,2005-07-02 03:00:00,2005,7
101150,1120251600,23.2,23.2,23.2,1010.8,,,81,3.6,40,,,,,,,20,801,2005-07-02 04:00:00,2005,7
101151,1120255200,23.2,23.2,23.2,1010.8,,,81,3.6,40,,,,,,,20,801,2005-07-02 05:00:00,2005,7
101152,1120258800,23.0,23.0,23.0,1011.4,,,81,2.1,50,,,,,,,40,802,2005-07-02 06:00:00,2005,7
101153,1120262400,25.67,25.67,25.67,1013.0,,,64,7.01,118,,,,,,,100,804,2005-07-02 07:00:00,2005,7
101154,1120266000,27.0,27.0,27.0,1012.9,,,65,5.1,80,,,,,,,20,801,2005-07-02 08:00:00,2005,7
101155,1120269600,28.0,28.0,28.0,1012.9,,,61,5.1,90,,,,,,,20,801,2005-07-02 09:00:00,2005,7
101156,1120273200,27.4,27.4,27.4,1012.9,,,66,5.1,90,,,,,,,20,801,2005-07-02 10:00:00,2005,7
101157,1120276800,25.91,25.91,25.91,1013.0,,,61,7.04,119,,,,,,,100,804,2005-07-02 11:00:00,2005,7
101158,1120280400,25.91,25.91,25.91,1012.0,,,60,6.65,120,,,,,,,100,804,2005-07-02 12:00:00,2005,7
101159,1120284000,27.8,27.8,27.8,1010.8,,,53,4.6,100,,,,,,,20,801,2005-07-02 13:00:00,2005,7
101160,1120287600,28.0,28.0,28.0,1010.2,,,58,4.6,100,,,,,,,20,801,2005-07-02 14:00:00,2005,7
101161,1120291200,28.0,28.0,28.0,1010.2,,,61,4.6,100,,,,,,,20,801,2005-07-02 15:00:00,2005,7
101162,1120294800,26.8,26.8,26.8,1010.2,,,60,3.6,110,,,,,,,20,801,2005-07-02 16:00:00,2005,7
101163,1120298400,25.98,25.98,25.98,1011.0,,,60,5.53,130,,,,,,,89,804,2005-07-02 17:00:00,2005,7
101164,1120302000,26.02,26.02,26.02,1012.0,,,59,5.48,130,,,,,,,59,803,2005-07-02 18:00:00,2005,7
101165,1120305600,25.2,25.2,25.2,1011.9,,,66,3.1,120,,,,,,,20,801,2005-07-02 19:00:00,2005,7
101166,1120309200,25.0,25.0,25.0,1012.9,,,69,3.1,110,,,,,,,20,801,2005-07-02 20:00:00,2005,7
101167,1120312800,25.0,25.0,25.0,1012.9,,,69,3.1,110,,,,,,,20,801,2005-07-02 21:00:00,2005,7
101168,1120316400,25.0,25.0,25.0,1012.9,,,63,3.1,110,,,,,,,20,801,2005-07-02 22:00:00,2005,7
101169,1120320000,25.0,25.0,25.0,1012.9,,,65,3.1,100,,,,,,,20,801,2005-07-02 23:00:00,2005,7
101170,1120323600,25.78,25.78,25.78,1013.0,,,58,5.29,119,,,,,,,70,803,2005-07-03 00:00:00,2005,7
101171,1120327200,20.8,20.8,20.8,1011.9,,,87,1.5,20,,,,,,,20,801,2005-07-03 01:00:00,2005,7
101172,1120330800,20.8,20.8,20.8,1011.9,,,87,1.5,20,,,,,,,20,801,2005-07-03 02:00:00,2005,7
101173,1120334400,20.8,20.8,20.8,1010.8,,,83,1.5,50,,,,,,,20,801,2005-07-03 03:00:00,2005,7
101174,1120338000,20.8,20.8,20.8,1010.8,,,83,1.5,50,,,,,,,20,801,2005-07-03 04:00:00,2005,7
101175,1120341600,20.8,20.8,20.8,1010.8,,,83,1.5,50,,,,,,,20,801,2005-07-03 05:00:00,2005,7
101176,1120345200,22.0,22.0,22.0,1011.5,,,79,1.5,20,,,,,,,20,801,2005-07-03 06:00:00,2005,7
101177,1120348800,25.88,25.88,25.88,1012.0,,,58,6.39,115,,,,,,,49,802,2005-07-03 07:00:00,2005,7
101178,1120352400,25.0,25.0,25.0,1012.9,,,69,2.1,20,,,,,,,20,801,2005-07-03 08:00:00,2005,7
101179,1120356000,28.0,28.0,28.0,1011.9,,,58,3.1,90,,,,,,,20,801,2005-07-03 09:00:00,2005,7
101180,1120359600,27.4,27.4,27.4,1011.9,,,56,3.6,100,,,,,,,20,801,2005-07-03 10:00:00,2005,7
101181,1120363200,26.06,26.06,26.06,1011.0,,,60,7.35,126,,,,,,,61,803,2005-07-03 11:00:00,2005,7
101182,1120366800,25.95,25.95,25.95,1010.0,,,61,7.47,130,,,,,,,65,803,2005-07-03 12:00:00,2005,7
101183,1120370400,27.6,27.6,27.6,1009.8,,,60,4.6,110,,,,,,,40,802,2005-07-03 13:00:00,2005,7
101184,1120374000,27.6,27.6,27.6,1009.8,,,60,4.6,110,,,,,,,40,802,2005-07-03 14:00:00,2005,7
101185,1120377600,27.0,27.0,27.0,1007.9,,,56,4.1,130,,,,,,,40,802,2005-07-03 15:00:00,2005,7
101186,1120381200,25.85,25.85,25.85,1010.0,,,62,6.56,131,,,,,,,63,803,2005-07-03 16:00:00,2005,7
101187,1120384800,26.0,26.0,26.0,1009.1,,,57,3.1,130,,,,,,,20,801,2005-07-03 17:00:00,2005,7
101188,1120388400,26.13,26.13,26.13,1010.0,,,57,6.19,128,,,,,,,81,803,2005-07-03 18:00:00,2005,7
101189,1120392000,25.2,25.2,25.2,1009.0,,,60,2.6,120,,,,,,,40,802,2005-07-03 19:00:00,2005,7
101190,1120395600,25.2,25.2,25.2,1009.0,,,60,2.6,120,,,,,,,40,802,2005-07-03 20:00:00,2005,7
101191,1120399200,23.4,23.4,23.4,1010.8,,,70,6.56,122,,,,,,,20,801,2005-07-03 21:00:00,2005,7
101192,1120402800,26.22,26.22,26.22,1011.0,,,57,6.82,121,,,,,,,30,802,2005-07-03 22:00:00,2005,7
101193,1120406400,25.0,25.0,25.0,1010.8,,,73,6.87,122,,,,,,,20,801,2005-07-03 23:00:00,2005,7
