,dt,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,clouds_all,weather_id,datetime,year,month
137871,1251738000,25.2,25.2,25.2,1008.6,,,85,3.6,130,,,1.0,,,,40,802,2009-09-01 00:00:00,2009,9
137872,1251741600,25.2,25.2,25.2,1008.6,,,85,3.6,130,,,1.0,,,,40,802,2009-09-01 01:00:00,2009,9
137873,1251745200,25.2,25.2,25.2,1008.6,,,85,3.6,130,,,1.0,,,,40,802,2009-09-01 02:00:00,2009,9
137874,1251748800,25.6,25.6,25.6,1008.6,,,82,6.2,110,,,,,,,40,802,2009-09-01 03:00:00,2009,9
137875,1251752400,25.6,25.6,25.6,1008.6,,,82,6.2,110,,,,,,,40,802,2009-09-01 04:00:00,2009,9
137876,1251756000,25.6,25.6,25.6,1008.6,,,82,6.2,110,,,,,,,40,802,2009-09-01 05:00:00,2009,9
137877,1251759600,26.4,26.4,26.4,1010.3,,,79,6.2,100,,,,,1.0,,20,801,2009-09-01 06:00:00,2009,9
137878,1251763200,26.4,26.4,26.4,1010.3,,,79,6.2,100,,,,,1.0,,20,801,2009-09-01 07:00:00,2009,9
137879,1251766800,26.4,26.4,26.4,1010.3,,,79,6.2,100,,,,,1.0,,20,801,2009-09-01 08:00:00,2009,9
137880,1251770400,28.6,28.6,28.6,1010.3,,,73,6.7,110,,,,,,,20,801,2009-09-01 09:00:00,2009,9
137881,1251774000,28.6,28.6,28.6,1010.3,,,73,6.7,110,,,,,,,20,801,2009-09-01 10:00:00,2009,9
137882,1251777600,28.6,28.6,28.6,1010.3,,,73,6.7,110,,,,,,,20,801,2009-09-01 11:00:00,2009,9
137883,1251781200,28.6,28.6,28.6,1008.0,,,67,7.2,130,,,,,,,11,801,2009-09-01 12:00:00,2009,9
137884,1251784800,28.6,28.6,28.6,1008.0,,,67,7.2,130,,,,,,,17,801,2009-09-01 13:00:00,2009,9
137885,1251788400,28.6,28.6,28.6,1008.0,,,67,7.2,130,,,,,,,14,801,2009-09-01 14:00:00,2009,9
137886,1251792000,27.4,27.4,27.4,1007.4,,,76,7.7,120,,,,,,,20,801,2009-09-01 15:00:00,2009,9
137887,1251795600,27.4,27.4,27.4,1007.4,,,76,7.7,120,,,,,,,20,801,2009-09-01 16:00:00,2009,9
137888,1251799200,27.4,27.4,27.4,1007.4,,,76,7.7,120,,,,,,,20,801,2009-09-01 17:00:00,2009,9
137889,1251802800,26.0,26.0,26.0,1009.1,,,83,5.1,120,,,,,,,20,801,2009-09-01 18:00:00,2009,9
137890,1251806400,26.0,26.0,26.0,1008.5,,,82,5.1,120,,,,,,,20,801,2009-09-01 19:00:00,2009,9
137891,1251810000,26.0,26.0,26.0,1008.5,,,82,5.1,120,,,,,,,20,801,2009-09-01 20:00:00,2009,9
137892,1251813600,26.2,26.2,26.2,1010.2,,,81,6.2,130,,,,,,,40,802,2009-09-01 21:00:00,2009,9
137893,1251817200,26.1,26.0,26.2,1010.2,,,81,6.2,130,,,,,,,40,802,2009-09-01 22:00:00,2009,9
137894,1251820800,26.1,26.0,26.2,1010.2,,,81,6.2,130,,,,,,,40,802,2009-09-01 23:00:00,2009,9
137895,1251824400,26.0,26.0,26.0,1010.0,,,83,5.2,130,,,,,,,40,802,2009-09-02 00:00:00,2009,9
137896,1251828000,26.0,26.0,26.0,1009.8,,,84,5.1,130,,,,,,,40,802,2009-09-02 01:00:00,2009,9
137897,1251831600,26.0,26.0,26.0,1009.8,,,84,5.1,130,,,,,,,40,802,2009-09-02 02:00:00,2009,9
137898,1251835200,25.6,25.6,25.6,1009.2,,,85,5.1,120,,,,,,,40,802,2009-09-02 03:00:00,2009,9
137899,1251838800,25.6,25.6,25.6,1009.2,,,85,5.1,120,,,,,,,40,802,2009-09-02 04:00:00,2009,9
137900,1251842400,25.6,25.6,25.6,1009.2,,,85,5.1,120,,,,,,,40,802,2009-09-02 05:00:00,2009,9
137901,1251846000,26.6,26.6,26.6,1010.4,,,81,6.7,120,,,,,,,40,802,2009-09-02 06:00:00,2009,9
137902,1251849600,26.6,26.6,26.6,1010.4,,,81,6.7,120,,,,,,,40,802,2009-09-02 07:00:00,2009,9
137903,1251853200,26.6,26.6,26.6,1010.4,,,81,6.7,120,,,,,,,40,802,2009-09-02 08:00:00,2009,9
137904,1251856800,29.2,29.2,29.2,1011.6,,,69,6.2,130,,,,,,,40,802,2009-09-02 09:00:00,2009,9
137905,1251860400,29.2,29.2,29.2,1011.6,,,69,6.2,130,,,,,,,40,802,2009-09-02 10:00:00,2009,9
137906,1251864000,29.2,29.2,29.2,1011.6,,,69,6.2,130,,,,,,,40,802,2009-09-02 11:00:00,2009,9
137907,1251867600,29.2,29.2,29.2,1010.3,,,69,5.7,120,,,,,,,20,801,2009-09-02 12:00:00,2009,9
137908,1251871200,29.2,29.2,29.2,1010.3,,,69,5.7,120,,,,,,,20,801,2009-09-02 13:00:00,2009,9
137909,1251874800,29.2,29.2,29.2,1010.3,,,69,5.7,120,,,,,,,20,801,2009-09-02 14:00:00,2009,9
137910,1251878400,27.6,27.6,27.6,1008.2,,,77,6.7,130,,,,,,,20,801,2009-09-02 15:00:00,2009,9
137911,1251882000,27.6,27.6,27.6,1008.2,,,77,6.7,130,,,,,,,20,801,2009-09-02 16:00:00,2009,9
137912,1251885600,27.6,27.6,27.6,1008.2,,,77,6.7,130,,,,,,,20,801,2009-09-02 17:00:00,2009,9
137913,1251889200,26.0,26.0,26.0,1009.9,,,85,3.6,130,,,,,,,20,801,2009-09-02 18:00:00,2009,9
137914,1251892800,26.0,26.0,26.0,1009.9,,,85,3.6,130,,,,,,,20,801,2009-09-02 19:00:00,2009,9
137915,1251896400,26.0,26.0,26.0,1009.9,,,85,3.6,130,,,,,,,20,801,2009-09-02 20:00:00,2009,9
137916,1251900000,25.9,25.9,25.9,1011.5,,,82,3.6,120,,,,,,,40,802,2009-09-02 21:00:00,2009,9
137917,1251903600,25.9,25.9,25.9,1011.5,,,82,3.6,120,,,,,,,40,802,2009-09-02 22:00:00,2009,9
137918,1251907200,25.9,25.9,25.9,1011.5,,,82,3.6,120,,,,,,,40,802,2009-09-02 23:00:00,2009,9
137919,1251910800,25.5,25.5,25.5,1010.1,,,81,3.1,120,,,,,,,20,801,2009-09-03 00:00:00,2009,9
137920,1251914400,25.5,25.5,25.5,1010.1,,,81,3.1,120,,,,,,,20,801,2009-09-03 01:00:00,2009,9
137921,1251918000,25.5,25.5,25.5,1010.1,,,81,3.1,120,,,,,,,20,801,2009-09-03 02:00:00,2009,9
137922,1251921600,24.7,24.7,24.7,1010.1,,,87,3.1,80,,0.2,,,,,20,500,2009-09-03 03:00:00,2009,9
137923,1251925200,24.88,24.7,25.0,1010.1,,,87,3.1,80,,0.2,,,,,20,500,2009-09-03 04:00:00,2009,9
137924,1251928800,24.7,24.7,24.7,1010.1,,,87,3.1,80,,0.2,,,,,20,500,2009-09-03 05:00:00,2009,9
137925,1251932400,25.97,25.0,26.6,1010.8,,,83,6.7,120,,,,,,,20,801,2009-09-03 06:00:00,2009,9
137926,1251936000,26.8,26.6,27.0,1011.5,,,73,7.2,110,,,,,0.0,,30,802,2009-09-03 07:00:00,2009,9
137927,1251939600,26.8,26.6,27.0,1011.9,,,74,7.2,110,,,,,,,20,801,2009-09-03 08:00:00,2009,9
137928,1251943200,28.2,28.2,28.2,1011.9,,,69,6.2,110,,,,,,,20,801,2009-09-03 09:00:00,2009,9
137929,1251946800,28.2,28.2,28.2,1011.9,,,69,6.2,110,,,,,,,20,801,2009-09-03 10:00:00,2009,9
137930,1251950400,28.2,28.2,28.2,1011.9,,,69,6.2,110,,,,,,,20,801,2009-09-03 11:00:00,2009,9
137931,1251954000,29.4,29.4,29.4,1010.2,,,66,4.1,140,,,,,,,20,801,2009-09-03 12:00:00,2009,9
137932,1251957600,29.4,29.4,29.4,1010.2,,,66,4.1,140,,,,,,,20,801,2009-09-03 13:00:00,2009,9
137933,1251961200,29.4,29.4,29.4,1010.2,,,66,4.1,140,,,,,,,20,801,2009-09-03 14:00:00,2009,9
137934,1251964800,28.2,28.2,28.2,1008.6,,,63,4.1,130,,,,,,,41,802,2009-09-03 15:00:00,2009,9
137935,1251968400,28.2,28.2,28.2,1008.6,,,63,4.1,130,,,,,,,20,801,2009-09-03 16:00:00,2009,9
137936,1251972000,28.2,28.2,28.2,1008.6,,,63,4.1,130,,,,,,,5,800,2009-09-03 17:00:00,2009,9
137937,1251975600,25.8,25.8,25.8,1011.3,,,79,4.6,120,,,,,,,20,801,2009-09-03 18:00:00,2009,9
137938,1251979200,25.8,25.8,25.8,1011.3,,,79,4.6,120,,,,,,,20,801,2009-09-03 19:00:00,2009,9
137939,1251982800,25.8,25.8,25.8,1011.3,,,79,4.6,120,,,,,,,20,801,2009-09-03 20:00:00,2009,9
